,Price,Transmission,Power,Engine CC,Fuel_2.0,Male,Female,Unknown,Total,Sale_2
71,32.1815,6,99,1448.6,0,39067,22899,2336,64302,0
72,113.2693333,8,246.3333333,2994.666667,1,45819,14588,3268,63675,0
73,28.23090909,6.454545455,86,999,0,24663,32045,5707,62415,0
74,26.803,5.428571429,85.71428571,1310,0,34682,23094,3559,61335,1
75,26.97522727,5.863636364,88.09090909,1460.795455,0,37398,20296,1991,59685,1
76,28.60820513,4.756410256,92.82051282,2043.820513,0,46504,9985,2693,59182,1
77,13.63642857,4.714285714,69,1424.857143,0,24389,31656,2947,58992,1
78,47.361875,3.75,113.375,1774.8125,1,41540,14753,2532,58825,1
79,72.79589474,6.210526316,166.3157895,3041,0,38415,16438,3538,58391,1
80,35.28132353,5.176470588,113.3529412,2106.5,0,41358,13625,3194,58177,1
81,39.35238095,5,98.04761905,1928.714286,0,46997,8060,2388,57445,1
82,27.4386,6.34,85.28,1452,1,37450,16005,2902,56357,1
83,9.5628,4.6,50,996,0,21062,30777,4330,56169,1
84,26.51269565,4.02173913,93.58695652,1933.021739,0,41096,11421,3286,55803,1
85,21.847,6.090909091,70.72727273,1052.272727,0,26734,26745,2019,55498,1
86,61.86283333,6.833333333,184.1666667,2748.333333,0,24741,25424,3794,53959,1
87,47.52333333,6,128.8888889,1886.555556,1,31973,17823,2374,52170,1
88,77.41666667,7,188.3333333,2876,1,35260,13819,3081,52160,1
89,43.97,6.6,115.3,1634.2,1,32328,17864,1642,51834,1
90,38.72769231,5.538461538,114.6538462,2178.192308,1,40589,8990,2246,51825,1
91,15.14,5,64,1382.75,0,21142,27977,2495,51614,1
92,28.60918919,5.945945946,100.5945946,1387.621622,0,31244,18187,2059,51490,1
93,78.74625,8,176.25,1997,1,43857,4860,1940,50657,1
94,27.08277108,6.228915663,86.63855422,1377.566265,0,17678,29771,2342,49791,1
95,17.03876744,5.302325581,73.48837209,1374.046512,0,20915,25109,2781,48805,1
96,59.43242424,7,150.4545455,1981.818182,0,35411,9131,2161,46703,1
97,38.7525,0,165,2488,0,27761,16836,1331,45928,1
98,33.798,0,96,1797.4,0,29616,10848,4383,44847,1
99,66.58842105,5.736842105,172.3157895,2934.631579,0,36990,5033,1853,43876,1
100,36.52419118,5.176470588,113.3529412,2106.5,0,29574,11687,2481,43742,1
101,16.20874359,4.461538462,63.56410256,1650.205128,0,31223,10678,1626,43527,1
102,85.82946154,8,213.1538462,1969,0,26579,12860,2834,42273,1
103,34.9090566,5.603773585,104.2264151,1805.924528,1,33777,6565,1831,42173,1
104,35.81481651,6.293577982,117.4311927,1921.46789,0,28059,10836,2413,41308,1
105,76.5922,8,184,2396.4,0,24013,13661,2645,40319,1
106,44.30857143,6.714285714,108,1663.928571,0,23104,14542,1750,39396,1
107,41.38957143,7.285714286,105.7142857,1545.428571,1,19092,15501,2148,36741,1
108,19.9680625,2.8125,55.375,592.5625,0,17738,16848,2113,36699,1
109,25.39952941,4.647058824,78.85294118,1891.588235,0,26706,7942,1758,36406,1
110,23.322,3.75,84.2,1853.9,0,25441,8533,1547,35521,1
111,158.7922667,7.466666667,293.5333333,3005.4,0,29960,3418,1599,34977,1
112,137.5695455,8,223.5454545,2813,0,30739,2641,1496,34876,1
113,30.5976,1.8,97.6,1757.6,0,27537,5965,1348,34850,1
114,52.95719388,5.653061224,146.122449,2031.469388,0,26909,5562,1856,34327,1
115,31.5255,5.166666667,109.6666667,1861.833333,0,23509,8349,1694,33552,1
116,45.6995,6,114,1854.2,1,23214,7747,2551,33512,1
117,44.14181818,6.545454545,144.6363636,2242.636364,1,22644,9212,1516,33372,1
118,22.84857143,6.523809524,73.23809524,1241.857143,0,13875,17430,1215,32520,1
119,52.085,8,223.8333333,1969,0,25331,4913,1689,31933,1
120,23.35964286,5.25,81.28571429,1410.357143,0,13057,17367,1231,31655,1
121,17.82333333,4.666666667,70.33333333,1298.666667,0,13701,15260,1747,30708,1
122,21.02333333,5,92.33333333,1729.333333,0,19477,9964,1264,30705,1
123,39.70773684,4.842105263,117.5789474,2719.842105,1,19359,9318,1712,30389,1
124,36.01325,6,151.6666667,2048.666667,0,20969,7821,907,29697,1
125,64.109625,6.75,202.125,2778,0,19343,8462,1748,29553,1
126,17.182,5,74,1994,0,17725,10492,1320,29537,1
127,17.065625,5.125,51.375,999,0,10220,17894,1082,29196,1
128,25.94322222,4.777777778,67,1372.666667,0,14101,12767,1973,28841,1
129,9.492272727,4.909090909,40.81818182,850.2727273,0,9404,17374,1692,28470,1
130,83.50125,6.5,213.5,3071,0,20033,6312,1597,27942,1
131,9.8628,5,50,1090.4,0,12629,12804,1891,27324,1
132,40.98307692,7.307692308,114.2692308,1352.576923,0,17213,8974,1071,27258,1
133,17.34364706,4.745098039,70.92156863,1683.607843,0,15999,9404,1566,26969,1
134,30.3775,6.3125,94.0625,935.625,0,11079,14037,1749,26865,1
135,22.77681818,5.272727273,92.36363636,1837.363636,0,15843,8974,1340,26157,1
136,33.70615385,6.153846154,120.1538462,1750.615385,0,17313,6728,1072,25113,1
137,145.6466667,6,283,5000,0,20604,3013,1154,24771,1
138,27.13,5.768421053,96.05263158,1774.778947,1,14157,9495,999,24651,1
139,32.4898913,5.304347826,113.2826087,2093.021739,0,13551,9639,1421,24611,1
140,14.293,4.6,75.4,1479,0,13520,8849,1296,23665,1
141,13.88308333,4.75,47.75,1373.75,0,8828,12512,1320,22660,1
142,43.06842105,6.254385965,104.2017544,2222.710526,1,18660,2239,1630,22529,1
143,38.9,5.84,113.84,1926,1,13708,7991,660,22359,1
144,18.76848837,4.860465116,67.02325581,1391.023256,1,13273,7486,1332,22091,1
145,22.12540909,5.5,75.09090909,1622.681818,0,12385,8561,1099,22045,1
146,31.30566667,6.259259259,96.92592593,1587.222222,0,16259,4610,989,21858,1
147,49.82277778,6,115.8333333,1746.944444,0,14659,5610,1284,21553,1
148,59,7,166,1798,0,14370,5657,1245,21272,1
149,19.45142857,3.571428571,61,1197,0,9623,10103,1499,21225,1
150,20.6695,4.75,88,1586,0,10925,9035,1217,21177,1
151,31.195,6,105.875,1755.75,0,13424,6193,866,20483,1
152,64.50769231,6.846153846,144.2307692,2048.538462,1,12761,6588,1044,20393,1
153,46.5274,7.04,131.6,1596.92,0,16634,2550,1069,20253,1
154,20.36464286,5.857142857,82.25,1534.392857,1,13570,5531,989,20090,1
155,51.646,0,110,1995,0,13236,5511,1307,20054,1
156,30.351,6.3,83.5,1452.3,0,13365,5800,883,20048,1
157,94.098125,8,190,2967,1,14059,4973,906,19938,1
158,8.17,5,40,1108,0,7901,10570,1075,19546,1
159,39.725,6.8,110,1592,0,16399,2367,763,19529,1
160,22.455,6,92.30769231,1466.307692,0,11663,7015,837,19515,1
161,51.44133333,7.2,123.9333333,1863.133333,1,10717,7442,1268,19427,1
162,106.5488889,8,210,2976.333333,1,13244,4579,981,18804,1
163,25.3433871,5.193548387,95.09677419,1802.774194,0,11552,5743,1064,18359,1
164,34.19,6,103,1794,0,11658,5595,925,18178,1
165,115.533,8,250,2998,0,15286,1519,1055,17860,1
166,32.09,4,98.2,1754.4,0,10315,6485,930,17730,1
167,50.94,6.266666667,138.2833333,1986.766667,1,14400,2261,963,17624,1
168,12.49833333,5,48.66666667,1336.666667,0,6154,10468,995,17617,1
169,14.94,5.2,59.6,958.6,0,6015,10447,672,17134,1
170,23.01661538,4.730769231,90.88461538,1709.538462,0,12773,3703,607,17083,1
171,25.17006452,5.516129032,79.30645161,1523.741935,1,11730,4440,900,17070,1
172,42.2862,6,113.8,1740,0,6660,9047,1352,17059,1
173,135.1055,6.5,309,3999,0,14930,1383,661,16974,1
174,29.88478947,4.736842105,109.1052632,2238.631579,0,9477,6366,1029,16872,1
175,18.513,4.6,76,1599,0,9531,6321,789,16641,1
176,17.31777778,3.666666667,58.44444444,1152.888889,0,6539,8634,1288,16461,1
177,264.675,7,420,6208,0,12431,3121,879,16431,1
178,23.0525,5,55,1406,0,7516,7685,1211,16412,1
179,39.7374,4.6,115,2234.4,0,9579,5143,969,15691,1
180,52.19640625,5.3125,126.5,2323.9375,0,10078,4642,893,15613,1
181,20.9225,5.375,68.875,1272.4375,0,9000,5670,799,15469,1
182,13.1466,4.8,55.4,1144.8,0,6376,7977,905,15258,1
183,43.08,4.666666667,105,2239.666667,0,10252,3863,1118,15233,1
184,11.389,4.142857143,53,1308.285714,0,6266,7546,811,14623,1
185,18.615,5.2,69.6,1330.4,0,6945,6839,728,14512,1
